,Source,Dest,Number of SP,SP length,Disparity
0,2,3,1,1,0.0
1,2,4,1,3,0.0
2,2,7,1,5,0.0
3,2,8,1,4,0.0
4,2,9,3,6,0.5
5,2,10,1,6,0.0
6,2,11,2,3,1.0
7,2,12,1,4,0.0
8,2,14,1,4,0.0
9,2,15,2,3,0.6666666666666667
10,2,16,1,2,0.0
11,2,17,1,6,0.0
12,2,19,2,4,0.5
13,2,20,1,1,0.0
14,2,22,1,3,0.0
15,2,23,2,3,0.6666666666666667
16,2,27,3,5,0.6
17,2,30,2,3,1.0
18,2,33,2,3,1.0
19,2,34,1,3,0.0
20,2,35,2,4,0.75
21,2,37,1,2,0.0
22,2,38,2,4,0.75
23,2,39,1,2,0.0
24,2,40,4,4,0.7916666666666666
25,2,41,3,4,0.75
26,2,42,1,3,0.0
27,2,43,1,2,0.0
28,2,45,4,6,0.6944444444444445
29,2,46,4,4,0.7083333333333334
30,2,47,1,3,0.0
31,2,48,1,3,0.0
32,2,49,1,4,0.0
33,3,4,1,2,0.0
34,3,7,1,4,0.0
35,3,8,1,3,0.0
36,3,9,1,5,0.0
37,3,10,1,5,0.0
38,3,11,1,2,0.0
39,3,12,1,3,0.0
40,3,14,1,4,0.0
41,3,15,2,2,1.0
42,3,16,1,1,0.0
43,3,17,1,5,0.0
44,3,19,2,3,0.6666666666666667
45,3,20,1,2,0.0
46,3,22,1,2,0.0
47,3,23,2,2,1.0
48,3,27,1,4,0.0
49,3,30,1,2,0.0
50,3,33,1,2,0.0
51,3,34,1,2,0.0
52,3,35,1,3,0.0
53,3,37,3,3,0.888888888888889
54,3,38,1,3,0.0
55,3,39,2,3,1.0
56,3,40,2,3,0.6666666666666667
57,3,41,1,3,0.0
58,3,42,1,3,0.0
59,3,43,1,1,0.0
60,3,45,2,5,0.8
61,3,46,3,3,0.6666666666666666
62,3,47,4,4,0.8333333333333334
63,3,48,1,2,0.0
64,3,49,1,3,0.0
65,4,7,1,5,0.0
66,4,8,2,4,0.5
67,4,9,1,6,0.0
68,4,10,1,6,0.0
69,4,11,1,2,0.0
70,4,12,1,4,0.0
71,4,14,1,5,0.0
72,4,15,1,2,0.0
73,4,16,1,1,0.0
74,4,17,1,6,0.0
75,4,19,2,4,0.5
76,4,20,3,4,0.6666666666666666
77,4,22,1,3,0.0
78,4,23,1,2,0.0
79,4,27,1,5,0.0
80,4,30,1,2,0.0
81,4,33,1,3,0.0
82,4,34,2,3,0.6666666666666667
83,4,35,1,4,0.0
84,4,37,2,3,0.6666666666666667
85,4,38,1,4,0.0
86,4,39,1,4,0.0
87,4,40,2,4,0.5
88,4,41,1,4,0.0
89,4,42,1,4,0.0
90,4,43,1,2,0.0
91,4,45,2,6,0.6666666666666667
92,4,46,3,4,0.5
93,4,47,2,4,0.5
94,4,48,1,3,0.0
95,4,49,2,4,0.5
96,7,8,1,2,0.0
97,7,9,1,3,0.0
98,7,10,1,1,0.0
99,7,11,2,5,0.4
100,7,12,1,1,0.0
101,7,14,3,5,0.6666666666666666
102,7,15,1,4,0.0
103,7,16,1,4,0.0
104,7,17,1,1,0.0
105,7,19,1,3,0.0
106,7,20,1,5,0.0
107,7,22,1,3,0.0
108,7,23,2,4,0.75
109,7,27,1,2,0.0
110,7,30,2,5,0.4
111,7,33,1,3,0.0
112,7,34,1,3,0.0
113,7,35,1,4,0.0
114,7,37,8,6,0.6488095238095236
115,7,38,2,4,1.0
116,7,39,1,4,0.0
117,7,40,1,3,0.0
118,7,41,1,3,0.0
119,7,42,3,4,0.8333333333333334
120,7,43,1,3,0.0
121,7,45,1,1,0.0
122,7,46,1,3,0.0
123,7,47,3,5,0.6666666666666666
124,7,48,1,2,0.0
125,7,49,1,4,0.0
126,8,9,1,5,0.0
