,Timestamp,VC AD,VC ACC,VC ABC
0,0,0.0,0.0,0.0
1,12,0.0,0.0,0.0
2,24,0.0,0.0,0.0
3,36,0.0,0.0,0.0
4,48,0.0,0.0,0.0
5,60,0.0,0.0,0.0
6,72,0.0,0.0,0.0
7,84,0.0,0.0,0.0
8,96,0.0,0.0,0.0
9,108,0.0,0.0,0.0
10,120,0.0,0.0,0.0
11,132,0.0,0.0,0.0
12,144,0.0,0.0,0.0
13,156,0.0,0.0,0.0
14,168,0.0,0.0,0.0
15,180,0.0,0.0,0.0
16,192,0.0,0.0,0.0
17,204,0.0,0.0,0.0
18,216,0.0,0.0,0.0
19,228,0.0,0.0,0.0
20,240,0.0,0.0,0.0
21,252,0.0,0.0,0.0
22,264,0.0,0.0,0.0
23,276,0.0,0.0,0.0
24,288,0.0,0.0,0.0
25,300,0.0,0.0,0.0
26,312,0.0,0.0,0.0
27,324,0.0,0.0,0.0
28,336,0.0,0.0,0.0
29,348,0.0,0.0,0.0
30,360,0.0,0.0,0.0
31,372,0.0,0.0,0.0
32,384,0.0,0.0,0.0
33,396,0.0,0.0,0.0
34,408,0.0,0.0,0.0
35,420,0.0,0.0,0.0
36,432,0.0,0.0,0.0
37,444,0.0,0.0,0.0
38,456,0.0,0.0,0.0
39,468,0.0,0.0,0.0
40,480,0.0,0.0,0.0
41,492,0.0,0.0,0.0
42,504,0.0,0.0,0.0
43,516,0.0,0.0,0.0
44,528,0.0,0.0,0.0
45,540,0.0,0.0,0.0
46,552,0.0,0.0,0.0
47,564,0.0,0.0,0.0
48,576,0.0,0.0,0.0
49,588,0.0,0.0,0.0
50,600,0.0,0.0,0.0
51,612,0.0,0.0,0.0
52,624,0.0,0.0,0.0
53,636,0.0,0.0,0.0
54,648,0.0,0.0,0.0
55,660,0.0,0.0,0.0
56,672,0.0,0.0,0.0
57,684,0.0,0.0,0.0
58,696,0.0,0.0,0.0
59,708,0.0,0.0,0.0
60,720,0.0,0.0,0.0
61,732,0.0,0.0,0.0
62,744,0.0,0.0,0.0
63,756,0.0,0.0,0.0
64,768,0.0,0.0,0.0
65,780,0.0,0.0,0.0
66,792,0.0,0.0,0.0
67,804,0.0,0.0,0.0
68,816,0.0,0.0,0.0
69,828,0.0,0.0,0.0
70,840,0.0,0.0,0.0
71,852,0.0,0.0,0.0
72,864,0.0,0.0,0.0
73,876,0.0,0.0,0.0
74,888,0.0,0.0,0.0
75,900,0.0,0.0,0.0
76,912,0.0,0.0,0.0
77,924,0.0,0.0,0.0
78,936,0.0,0.0,0.0
79,948,0.0,0.0,0.0
80,960,0.0,0.0,0.0
81,972,0.0,0.0,0.0
82,984,0.0,0.0,0.0
83,996,0.0,0.0,0.0
84,1008,0.0,0.0,0.0
85,1020,0.0,0.0,0.0
86,1032,0.0,0.0,0.0
87,1044,0.0,0.0,0.0
88,1056,0.0,0.0,0.0
89,1068,0.0,0.0,0.0
90,1080,0.0,0.0,0.0
91,1092,0.0,0.0,0.0
92,1104,0.0,0.0,0.0
93,1116,0.0,0.0,0.0
94,1128,0.0,0.0,0.0
95,1140,0.0,0.0,0.0
96,1152,0.0,0.0,0.0
97,1164,0.0,0.0,0.0
98,1176,0.0,0.0,0.0
99,1188,0.0,0.0,0.0
100,1200,0.0,0.0,0.0
101,1212,0.0,0.0,0.0
102,1224,0.0,0.0,0.0
103,1236,0.0,0.0,0.0
104,1248,0.0,0.0,0.0
105,1260,0.0,0.0,0.0
106,1272,0.0,0.0,0.0
107,1284,0.0,0.0,0.0
108,1296,0.0,0.0,0.0
109,1308,0.0,0.0,0.0
110,1320,0.0,0.0,0.0
111,1332,0.0,0.0,0.0
112,1344,0.0,0.0,0.0
113,1356,0.0,0.0,0.0
114,1368,0.0,0.0,0.0
115,1380,0.0,0.0,0.0
116,1392,0.0,0.0,0.0
117,1404,0.0,0.0,0.0
118,1416,0.0,0.0,0.0
119,1428,0.0,0.0,0.0
120,1440,0.0,0.0,0.0
121,1452,0.0,0.0,0.0
122,1464,0.0,0.0,0.0
123,1476,0.0,0.0,0.0
124,1488,0.0,0.0,0.0
125,1500,0.0,0.0,0.0
126,1512,0.0,0.0,0.0
127,1524,0.0,0.0,0.0
128,1536,0.0,0.0,0.0
129,1548,0.0,0.0,0.0
130,1560,0.0,0.0,0.0
131,1572,0.0,0.0,0.0
132,1584,0.0,0.0,0.0
133,1596,0.0,0.0,0.0
